Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Nocturne Nocturne,1,0,1%,1,0,100%,7,-,43:39:00,3.8,368,377,2,-634,-422,2016
Taric Taric,1,0,1%,1,0,100%,1.3,-,66:20:00,2,128,294,4,120,25,2016
Kindred Kindred,1,0,1%,0,1,0%,0.4,-,31:26:00,3.9,343,305,12,409,-14,2016
Kled Kled,1,0,1%,0,1,0%,1.2,-,33:59:00,7.2,401,323,-13,-1285,-1713,2016
Aatrox Aatrox,0,0,0%,,,,,-,,,,,,,,2016
Ahri Ahri,0,0,0%,,,,,-,,,,,,,,2016
Akali Akali,0,0,0%,,,,,-,,,,,,,,2016
Amumu Amumu,0,0,0%,,,,,-,,,,,,,,2016
Annie Annie,0,0,0%,,,,,-,,,,,,,,2016
Blitzcrank Blitzcrank,0,0,0%,,,,,-,,,,,,,,2016
Chogath Chogath,0,0,0%,,,,,-,,,,,,,,2016
Corki Corki,0,0,0%,,,,,-,,,,,,,,2016
Darius Darius,0,0,0%,,,,,-,,,,,,,,2016
Diana Diana,0,0,0%,,,,,-,,,,,,,,2016
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2016
Draven Draven,0,0,0%,,,,,-,,,,,,,,2016
Evelynn Evelynn,0,0,0%,,,,,-,,,,,,,,2016
Fiddlesticks Fiddlesticks,0,0,0%,,,,,-,,,,,,,,2016
Fizz Fizz,0,0,0%,,,,,-,,,,,,,,2016
Galio Galio,0,0,0%,,,,,-,,,,,,,,2016
Gangplank Gangplank,0,0,0%,,,,,-,,,,,,,,2016
Garen Garen,0,0,0%,,,,,-,,,,,,,,2016
Gragas Gragas,0,0,0%,,,,,-,,,,,,,,2016
Heimerdinger Heimerdinger,0,0,0%,,,,,-,,,,,,,,2016
Janna Janna,0,0,0%,,,,,-,,,,,,,,2016
Jarvan IV Jarvan IV,0,0,0%,,,,,-,,,,,,,,2016
Jax Jax,0,0,0%,,,,,-,,,,,,,,2016
Karthus Karthus,0,0,0%,,,,,-,,,,,,,,2016
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2016
Kayle Kayle,0,0,0%,,,,,-,,,,,,,,2016
KogMaw KogMaw,0,0,0%,,,,,-,,,,,,,,2016
LeBlanc LeBlanc,0,0,0%,,,,,-,,,,,,,,2016
Leona Leona,0,0,0%,,,,,-,,,,,,,,2016
Lulu Lulu,0,0,0%,,,,,-,,,,,,,,2016
Lux Lux,0,0,0%,,,,,-,,,,,,,,2016
Malphite Malphite,0,0,0%,,,,,-,,,,,,,,2016
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2016
Mordekaiser Mordekaiser,0,0,0%,,,,,-,,,,,,,,2016
Morgana Morgana,0,0,0%,,,,,-,,,,,,,,2016
Nasus Nasus,0,0,0%,,,,,-,,,,,,,,2016
Nunu Nunu,0,0,0%,,,,,-,,,,,,,,2016
Pantheon Pantheon,0,0,0%,,,,,-,,,,,,,,2016
Quinn Quinn,0,0,0%,,,,,-,,,,,,,,2016
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2016
Renekton Renekton,0,0,0%,,,,,-,,,,,,,,2016
Rengar Rengar,0,0,0%,,,,,-,,,,,,,,2016
Riven Riven,0,0,0%,,,,,-,,,,,,,,2016
Sejuani Sejuani,0,0,0%,,,,,-,,,,,,,,2016
Shaco Shaco,0,0,0%,,,,,-,,,,,,,,2016
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2016
Singed Singed,0,0,0%,,,,,-,,,,,,,,2016
Sion Sion,0,0,0%,,,,,-,,,,,,,,2016
Sona Sona,0,0,0%,,,,,-,,,,,,,,2016
Swain Swain,0,0,0%,,,,,-,,,,,,,,2016
Talon Talon,0,0,0%,,,,,-,,,,,,,,2016
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2016
Thresh Thresh,0,0,0%,,,,,-,,,,,,,,2016
Tristana Tristana,0,0,0%,,,,,-,,,,,,,,2016
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,,2016
Twitch Twitch,0,0,0%,,,,,-,,,,,,,,2016
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2016
Urgot Urgot,0,0,0%,,,,,-,,,,,,,,2016
Vayne Vayne,0,0,0%,,,,,-,,,,,,,,2016
Veigar Veigar,0,0,0%,,,,,-,,,,,,,,2016
Vi Vi,0,0,0%,,,,,-,,,,,,,,2016
Volibear Volibear,0,0,0%,,,,,-,,,,,,,,2016
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2016
Wukong Wukong,0,0,0%,,,,,-,,,,,,,,2016
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2016
Xin Zhao Xin Zhao,0,0,0%,,,,,-,,,,,,,,2016
Yasuo Yasuo,0,0,0%,,,,,-,,,,,,,,2016
Yorick Yorick,0,0,0%,,,,,-,,,,,,,,2016
Zed Zed,0,0,0%,,,,,-,,,,,,,,2016
Ziggs Ziggs,0,0,0%,,,,,-,,,,,,,,2016
Azir Azir,0,0,0%,,,,,-,,,,,,,,2016
Kalista Kalista,0,0,0%,,,,,-,,,,,,,,2016
VelKoz VelKoz,0,0,0%,,,,,-,,,,,,,,2016
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2016
Taliyah Taliyah,0,0,0%,,,,,-,,,,,,,,2016
Ivern Ivern,0,0,0%,,,,,-,,,,,,,,2016
Camille Camille,0,0,0%,,,,,-,,,,,,,,2016
Xayah Xayah,0,0,0%,,,,,-,,,,,,,,2016
Rakan Rakan,0,0,0%,,,,,-,,,,,,,,2016
Kayn Kayn,0,0,0%,,,,,-,,,,,,,,2016
Ornn Ornn,0,0,0%,,,,,-,,,,,,,,2016
Zoe Zoe,0,0,0%,,,,,-,,,,,,,,2016
Kaisa Kaisa,0,0,0%,,,,,-,,,,,,,,2016
Pyke Pyke,0,0,0%,,,,,-,,,,,,,,2016
Neeko Neeko,0,0,0%,,,,,-,,,,,,,,2016
Sylas Sylas,0,0,0%,,,,,-,,,,,,,,2016
Yuumi Yuumi,0,0,0%,,,,,-,,,,,,,,2016
Qiyana Qiyana,0,0,0%,,,,,-,,,,,,,,2016
Senna Senna,0,0,0%,,,,,-,,,,,,,,2016
Aphelios Aphelios,0,0,0%,,,,,-,,,,,,,,2016
Sett Sett,0,0,0%,,,,,-,,,,,,,,2016
Lillia Lillia,0,0,0%,,,,,-,,,,,,,,2016
Yone Yone,0,0,0%,,,,,-,,,,,,,,2016
Samira Samira,0,0,0%,,,,,-,,,,,,,,2016
Seraphine Seraphine,0,0,0%,,,,,-,,,,,,,,2016
Rell Rell,0,0,0%,,,,,-,,,,,,,,2016
Viego Viego,0,0,0%,,,,,-,,,,,,,,2016
Gwen Gwen,0,0,0%,,,,,-,,,,,,,,2016
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2016
Vex Vex,0,0,0%,,,,,-,,,,,,,,2016
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2016
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2016
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2016
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2016
KSante KSante,0,0,0%,,,,,-,,,,,,,,2016
Milio Milio,0,0,0%,,,,,-,,,,,,,,2016
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2016
Briar Briar,0,0,0%,,,,,-,,,,,,,,2016
