"Champion","Picks","Bans","Presence","Wins","Losses","Winrate","KDA","Avg BT","GT","CSM","DPM","GPM","CSD@15","GD@15","XPD@15","Year"
"Nocturne Nocturne","3","3","8%","2","1","67%","3.2","9","33:16:00","5.5","323","356","-6.3","99","-42","2023"
"Olaf Olaf","3","3","8%","1","2","33%","2.3","8.3","30:40:00","8","548","385","-10","-251","-492","2023"
"Ezreal Ezreal","5","0","6%","0","5","0%","1.5","-","31:43:00","9.2","490","386","-10","-343","-372","2023"
"Jinx Jinx","3","2","6%","2","1","67%","18","8.5","30:47:00","10.7","602","501","3","-55","317","2023"
"LeBlanc LeBlanc","2","3","6%","0","2","0%","1.7","7","28:27:00","7.4","527","354","6","103","298","2023"
"Leona Leona","5","0","6%","1","4","20%","1","-","34:10:00","1.1","88","213","0.6","-235","-308","2023"
"Darius Darius","0","4","5%","","","","","3","","","","","","","","2023"
"Garen Garen","1","3","5%","0","1","0%","1.3","9","27:04:00","7.6","402","441","-6","1399","-365","2023"
"Lulu Lulu","4","0","5%","2","2","50%","8.8","-","30:36:00","0.7","140","245","-10.2","371","142","2023"
"Lux Lux","4","0","5%","2","2","50%","3.4","-","29:37:00","1.1","382","285","-4.2","196","-326","2023"
"Braum Braum","3","1","5%","1","2","33%","3","8","36:33:00","1.4","136","235","14","-197","203","2023"
"Ivern Ivern","1","3","5%","0","1","0%","-","5.7","32:59:00","5.5","309","316","-5","305","161","2023"
"Heimerdinger Heimerdinger","2","1","4%","1","1","50%","2.4","9","27:28:00","0.6","357","240","-15.5","174","-751","2023"
"Lissandra Lissandra","3","0","4%","2","1","67%","2.9","-","35:50:00","3.5","292","279","-17.3","-251","-544","2023"
"Pyke Pyke","0","3","4%","","","","","8.3","","","","","","","","2023"
"Gragas Gragas","2","0","3%","2","0","100%","1.4","-","32:20:00","7.9","479","367","-7","-342","-441","2023"
"Kindred Kindred","1","1","3%","1","0","100%","-","5","25:11:00","8.5","562","448","18","865","1264","2023"
"Nilah Nilah","2","0","3%","1","1","50%","8.7","-","34:09:00","9.7","439","467","14.5","50","1248","2023"
"Cassiopeia Cassiopeia","1","0","1%","0","1","0%","1","-","27:04:00","8.7","436","360","-15","64","-555","2023"
"Graves Graves","1","0","1%","1","0","100%","-","-","28:09:00","8.8","710","485","49","2437","796","2023"
"Karma Karma","1","0","1%","0","1","0%","2","-","26:23:00","0.8","230","220","8","-433","408","2023"
"KhaZix KhaZix","1","0","1%","1","0","100%","2.5","-","29:41:00","7","333","391","15","169","940","2023"
"KogMaw KogMaw","1","0","1%","0","1","0%","0.5","-","34:22:00","10.1","516","414","-11","-63","-51","2023"
"Lucian Lucian","1","0","1%","0","1","0%","1","-","31:56:00","10","429","403","2","294","160","2023"
"Malphite Malphite","0","1","1%","","","","","10","","","","","","","","2023"
"Nidalee Nidalee","1","0","1%","0","1","0%","1","-","28:44:00","5.7","400","284","12","-76","532","2023"
"Quinn Quinn","1","0","1%","0","1","0%","0.2","-","28:33:00","8","492","321","24","145","494","2023"
"Ryze Ryze","1","0","1%","1","0","100%","13","-","34:24:00","8.8","525","441","14","499","178","2023"
"Soraka Soraka","1","0","1%","0","1","0%","0.3","-","28:58:00","0.3","191","202","-21","-695","216","2023"
"Thresh Thresh","1","0","1%","0","1","0%","1.5","-","28:29:00","1.2","112","228","-2","835","-208","2023"
"Volibear Volibear","1","0","1%","0","1","0%","0.3","-","24:34:00","7.1","205","309","-39","-1256","-1435","2023"
"Yasuo Yasuo","0","1","1%","","","","","10","","","","","","","","2023"
"Zac Zac","1","0","1%","0","1","0%","1","-","45:16:00","4.3","291","271","0","126","669","2023"
"Jhin Jhin","1","0","1%","1","0","100%","14","-","24:51:00","9.1","412","405","11","1157","809","2023"
"Camille Camille","1","0","1%","0","1","0%","1","-","27:39:00","8.4","271","367","-10","-234","395","2023"
"Sett Sett","1","0","1%","0","1","0%","0.2","-","22:35","1.9","164","217","7","-368","-887","2023"
"Vex Vex","1","0","1%","1","0","100%","7","-","24:38:00","8.5","833","436","10","1088","236","2023"
"Amumu Amumu","0","0","0%","","","","","-","","","","","","","","2023"
"Anivia Anivia","0","0","0%","","","","","-","","","","","","","","2023"
"Annie Annie","0","0","0%","","","","","-","","","","","","","","2023"
"Brand Brand","0","0","0%","","","","","-","","","","","","","","2023"
"Chogath Chogath","0","0","0%","","","","","-","","","","","","","","2023"
"Corki Corki","0","0","0%","","","","","-","","","","","","","","2023"
"Diana Diana","0","0","0%","","","","","-","","","","","","","","2023"
"Dr. Mundo Dr. Mundo","0","0","0%","","","","","-","","","","","","","","2023"
"Elise Elise","0","0","0%","","","","","-","","","","","","","","2023"
"Evelynn Evelynn","0","0","0%","","","","","-","","","","","","","","2023"
"Fiddlesticks Fiddlesticks","0","0","0%","","","","","-","","","","","","","","2023"
"Fiora Fiora","0","0","0%","","","","","-","","","","","","","","2023"
"Fizz Fizz","0","0","0%","","","","","-","","","","","","","","2023"
"Galio Galio","0","0","0%","","","","","-","","","","","","","","2023"
"Gangplank Gangplank","0","0","0%","","","","","-","","","","","","","","2023"
"Hecarim Hecarim","0","0","0%","","","","","-","","","","","","","","2023"
"Irelia Irelia","0","0","0%","","","","","-","","","","","","","","2023"
"Janna Janna","0","0","0%","","","","","-","","","","","","","","2023"
"Karthus Karthus","0","0","0%","","","","","-","","","","","","","","2023"
"Kassadin Kassadin","0","0","0%","","","","","-","","","","","","","","2023"
"Katarina Katarina","0","0","0%","","","","","-","","","","","","","","2023"
"Kayle Kayle","0","0","0%","","","","","-","","","","","","","","2023"
"Malzahar Malzahar","0","0","0%","","","","","-","","","","","","","","2023"
"Master Yi Master Yi","0","0","0%","","","","","-","","","","","","","","2023"
"Miss Fortune Miss Fortune","0","0","0%","","","","","-","","","","","","","","2023"
"Mordekaiser Mordekaiser","0","0","0%","","","","","-","","","","","","","","2023"
"Morgana Morgana","0","0","0%","","","","","-","","","","","","","","2023"
"Nami Nami","0","0","0%","","","","","-","","","","","","","","2023"
"Nasus Nasus","0","0","0%","","","","","-","","","","","","","","2023"
"Nunu Nunu","0","0","0%","","","","","-","","","","","","","","2023"
"Pantheon Pantheon","0","0","0%","","","","","-","","","","","","","","2023"
"Rammus Rammus","0","0","0%","","","","","-","","","","","","","","2023"
"Rengar Rengar","0","0","0%","","","","","-","","","","","","","","2023"
"Riven Riven","0","0","0%","","","","","-","","","","","","","","2023"
"Shaco Shaco","0","0","0%","","","","","-","","","","","","","","2023"
"Shen Shen","0","0","0%","","","","","-","","","","","","","","2023"
"Shyvana Shyvana","0","0","0%","","","","","-","","","","","","","","2023"
"Singed Singed","0","0","0%","","","","","-","","","","","","","","2023"
"Sion Sion","0","0","0%","","","","","-","","","","","","","","2023"
"Skarner Skarner","0","0","0%","","","","","-","","","","","","","","2023"
"Sona Sona","0","0","0%","","","","","-","","","","","","","","2023"
"Swain Swain","0","0","0%","","","","","-","","","","","","","","2023"
"Talon Talon","0","0","0%","","","","","-","","","","","","","","2023"
"Taric Taric","0","0","0%","","","","","-","","","","","","","","2023"
"Teemo Teemo","0","0","0%","","","","","-","","","","","","","","2023"
"Trundle Trundle","0","0","0%","","","","","-","","","","","","","","2023"
"Tryndamere Tryndamere","0","0","0%","","","","","-","","","","","","","","2023"
"Twisted Fate Twisted Fate","0","0","0%","","","","","-","","","","","","","","2023"
"Twitch Twitch","0","0","0%","","","","","-","","","","","","","","2023"
"Udyr Udyr","0","0","0%","","","","","-","","","","","","","","2023"
"Urgot Urgot","0","0","0%","","","","","-","","","","","","","","2023"
"Vayne Vayne","0","0","0%","","","","","-","","","","","","","","2023"
"Veigar Veigar","0","0","0%","","","","","-","","","","","","","","2023"
"Viktor Viktor","0","0","0%","","","","","-","","","","","","","","2023"
"Vladimir Vladimir","0","0","0%","","","","","-","","","","","","","","2023"
"Warwick Warwick","0","0","0%","","","","","-","","","","","","","","2023"
"Xerath Xerath","0","0","0%","","","","","-","","","","","","","","2023"
"Xin Zhao Xin Zhao","0","0","0%","","","","","-","","","","","","","","2023"
"Yorick Yorick","0","0","0%","","","","","-","","","","","","","","2023"
"Zed Zed","0","0","0%","","","","","-","","","","","","","","2023"
"Zilean Zilean","0","0","0%","","","","","-","","","","","","","","2023"
"Zyra Zyra","0","0","0%","","","","","-","","","","","","","","2023"
"RekSai RekSai","0","0","0%","","","","","-","","","","","","","","2023"
"VelKoz VelKoz","0","0","0%","","","","","-","","","","","","","","2023"
"Ekko Ekko","0","0","0%","","","","","-","","","","","","","","2023"
"Illaoi Illaoi","0","0","0%","","","","","-","","","","","","","","2023"
"Aurelion Sol Aurelion Sol","0","0","0%","","","","","-","","","","","","","","2023"
"Kled Kled","0","0","0%","","","","","-","","","","","","","","2023"
"Kayn Kayn","0","0","0%","","","","","-","","","","","","","","2023"
"Zoe Zoe","0","0","0%","","","","","-","","","","","","","","2023"
"Yuumi Yuumi","0","0","0%","","","","","-","","","","","","","","2023"
"Qiyana Qiyana","0","0","0%","","","","","-","","","","","","","","2023"
"Lillia Lillia","0","0","0%","","","","","-","","","","","","","","2023"
"Samira Samira","0","0","0%","","","","","-","","","","","","","","2023"
"Seraphine Seraphine","0","0","0%","","","","","-","","","","","","","","2023"
"Akshan Akshan","0","0","0%","","","","","-","","","","","","","","2023"
"Naafiri Naafiri","0","0","0%","","","","","-","","","","","","","","2023"
"Briar Briar","0","0","0%","","","","","-","","","","","","","","2023"
