Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Gangplank Gangplank,4,69,100%,4,0,100%,7.8,3.5,29:00:00,7.7,570,432,-1.5,589,79,2015
Mordekaiser Mordekaiser,4,68,99%,4,0,100%,17.8,4,33:24:00,7.5,598,424,20.8,1122,2188,2015
Elise Elise,39,32,97%,26,13,67%,3.8,4.5,35:50:00,3,249,305,-3.6,46,-231,2015
Lulu Lulu,26,43,95%,13,13,50%,4.6,4.1,36:06:00,7.5,351,344,2.7,6,92,2015
RekSai RekSai,37,19,77%,15,22,41%,3.5,3.7,36:37:00,3.3,250,300,5.3,168,417,2015
Kalista Kalista,29,25,74%,14,15,48%,4.1,3.1,35:14:00,8.3,469,379,3.3,-265,-175,2015
Darius Darius,38,15,73%,19,19,50%,2.2,4.3,34:32:00,6.9,317,344,4.5,198,9,2015
Azir Azir,14,28,58%,10,4,71%,3.8,2.3,35:28:00,8.8,597,393,-2.1,-185,-61,2015
Thresh Thresh,29,6,48%,13,16,45%,3,3.3,35:07:00,1,121,220,1,-34,113,2015
Tahm Kench Tahm Kench,14,20,47%,10,4,71%,4.4,3.1,36:53:00,1.1,164,236,3.3,79,185,2015
Alistar Alistar,30,3,45%,15,15,50%,3.6,3,36:13:00,1.1,96,228,2.8,39,46,2015
Gragas Gragas,29,4,45%,13,16,45%,2.7,3.5,36:24:00,3,213,278,1.7,-192,-48,2015
Jinx Jinx,29,4,45%,15,14,52%,4.4,2.3,37:40:00,8.8,626,409,-0.6,212,50,2015
Lee Sin Lee Sin,18,10,38%,9,9,50%,3.8,3.6,33:06:00,2.8,251,294,-7.7,-82,-329,2015
Twisted Fate Twisted Fate,12,16,38%,7,5,58%,4.2,2.9,32:52:00,8.3,513,415,-12.7,345,-131,2015
Tristana Tristana,27,0,37%,11,16,41%,3.5,-,35:07:00,8.4,467,384,-7.1,-137,-145,2015
Braum Braum,21,3,33%,8,13,38%,3,3,33:55:00,1.2,157,222,3.2,-259,-315,2015
Fiora Fiora,19,4,32%,11,8,58%,2.6,3.8,36:06:00,8.1,471,378,-1.6,7,92,2015
Kennen Kennen,16,5,29%,8,8,50%,2.6,2.2,38:43:00,5.2,352,325,3.4,108,64,2015
Gnar Gnar,19,2,29%,8,11,42%,2.8,2,36:05:00,6.6,412,333,3.9,99,304,2015
Morgana Morgana,18,2,27%,8,10,44%,3.3,3,36:49:00,1,178,241,-3.5,1,-277,2015
Sivir Sivir,19,0,26%,9,10,47%,4.2,-,35:52:00,9.1,536,406,1.7,73,-55,2015
Veigar Veigar,8,10,25%,3,5,38%,3.1,2.9,36:25:00,8.2,466,369,-10.1,-360,-653,2015
Viktor Viktor,17,1,25%,8,9,47%,4.3,3,35:26:00,9.3,593,393,3,141,-28,2015
LeBlanc LeBlanc,11,6,23%,6,5,55%,6.9,2.7,38:34:00,8.2,590,378,17.2,506,713,2015
Shen Shen,12,3,21%,10,2,83%,4.4,3.7,37:23:00,1.8,114,260,2.1,341,331,2015
Malphite Malphite,10,4,19%,3,7,30%,3.9,2.8,39:22:00,6.3,285,312,-22.9,-569,-539,2015
Ashe Ashe,9,4,18%,5,4,56%,6.1,1.5,34:06:00,8.5,496,390,-2.9,78,-32,2015
Olaf Olaf,10,2,16%,4,6,40%,3.4,4,35:28:00,6.7,366,339,-1.9,-34,-296,2015
Orianna Orianna,12,0,16%,3,9,25%,2.3,-,38:53:00,9.3,457,377,6.6,-86,49,2015
Yasuo Yasuo,6,6,16%,2,4,33%,2.5,3.8,35:35:00,8.5,402,370,-4.2,-435,-506,2015
Annie Annie,9,1,14%,4,5,44%,3.1,3,35:54:00,0.5,186,233,-10.2,140,-34,2015
Renekton Renekton,6,4,14%,4,2,67%,4.3,1.5,34:59:00,8.9,373,397,15.8,603,834,2015
Riven Riven,10,0,14%,5,5,50%,2.1,-,34:57:00,8.2,354,381,3.8,130,55,2015
Fizz Fizz,4,5,12%,2,2,50%,3.9,3.2,35:46:00,7.5,340,348,-13.8,-220,83,2015
Ekko Ekko,9,0,12%,3,6,33%,2.9,-,37:10:00,7.4,444,355,0.7,-118,181,2015
KogMaw KogMaw,7,1,11%,3,4,43%,4.4,5,42:18:00,8.6,646,399,-0.9,-117,-157,2015
Ryze Ryze,6,2,11%,5,1,83%,7.5,3.5,28:57:00,8.4,529,404,11.3,214,268,2015
Kassadin Kassadin,7,0,10%,5,2,71%,7.2,-,39:03:00,7.5,591,370,-7.3,-301,-364,2015
Vayne Vayne,6,1,10%,2,4,33%,2.9,5,32:05:00,7.4,456,361,-1,-267,-157,2015
Anivia Anivia,6,0,8%,4,2,67%,2.1,-,39:41:00,9.3,495,372,-5.2,-374,-30,2015
Diana Diana,4,2,8%,2,2,50%,2.5,4,37:19:00,8.4,405,384,-11,-118,-117,2015
Nidalee Nidalee,3,3,8%,3,0,100%,6.7,1.3,39:20:00,4.3,340,377,24.7,961,1008,2015
Rumble Rumble,5,1,8%,4,1,80%,3.9,3,34:33:00,7.9,549,396,-6,200,419,2015
Varus Varus,2,4,8%,1,1,50%,1.6,4,34:31:00,8.2,710,359,-3,-498,90,2015
Caitlyn Caitlyn,5,0,7%,3,2,60%,3.8,-,38:13:00,8.7,552,384,-1.2,-251,125,2015
Hecarim Hecarim,5,0,7%,2,3,40%,4.1,-,34:02:00,7.3,444,365,11.6,542,371,2015
Jarvan IV Jarvan IV,5,0,7%,4,1,80%,3.6,-,38:23:00,3.5,267,308,-9.8,-407,-275,2015
Evelynn Evelynn,4,0,5%,1,3,25%,1.6,-,38:16:00,2.7,266,264,2.5,-134,179,2015
Lissandra Lissandra,4,0,5%,2,2,50%,3.3,-,33:27:00,8.1,418,370,-1,-249,-149,2015
Ahri Ahri,3,0,4%,1,2,33%,11,-,39:19:00,9.1,482,396,-4.3,3,29,2015
Janna Janna,3,0,4%,2,1,67%,6.7,-,40:26:00,0.4,50,234,-3,243,105,2015
Maokai Maokai,3,0,4%,0,3,0%,0.9,-,30:09:00,5.3,218,254,-22,-1359,-1583,2015
Skarner Skarner,3,0,4%,1,2,33%,3.2,-,32:01:00,3,119,290,4.3,285,2,2015
Irelia Irelia,2,0,3%,0,2,0%,0.9,-,34:18:00,6.5,281,295,-31,-1596,-988,2015
Rengar Rengar,2,0,3%,0,2,0%,2,-,30:21:00,3.2,179,284,3.5,525,86,2015
Zac Zac,2,0,3%,2,0,100%,7.8,-,44:17:00,2.2,179,262,-23,-1336,-1226,2015
Zed Zed,2,0,3%,0,2,0%,2.3,-,34:54:00,7.3,439,334,-24.5,-1488,-1181,2015
Bard Bard,2,0,3%,0,2,0%,1.7,-,35:28:00,0.9,166,225,-10.5,-456,516,2015
Blitzcrank Blitzcrank,1,0,1%,0,1,0%,0.6,-,29:20:00,0.5,133,198,4,-403,-515,2015
Brand Brand,1,0,1%,0,1,0%,1.8,-,35:01:00,0.8,477,245,-19,-449,-861,2015
Cassiopeia Cassiopeia,1,0,1%,0,1,0%,5,-,39:37:00,8.6,421,334,-3,38,-409,2015
Draven Draven,1,0,1%,1,0,100%,12,-,33:36:00,7.2,555,434,-12,-661,-239,2015
Graves Graves,1,0,1%,1,0,100%,7.5,-,39:41:00,9,652,435,-5,321,251,2015
Jayce Jayce,1,0,1%,0,1,0%,4,-,38:28:00,9.3,755,381,-12,-269,-184,2015
Karthus Karthus,1,0,1%,1,0,100%,4.7,-,29:53:00,9.2,598,429,33,-153,666,2015
Leona Leona,1,0,1%,1,0,100%,2.3,-,24:46:00,2.4,180,281,15,438,1144,2015
Lucian Lucian,1,0,1%,1,0,100%,4.5,-,36:44:00,8,794,418,16,281,-353,2015
Nautilus Nautilus,1,0,1%,0,1,0%,1.5,-,43:24:00,1.7,202,217,6,138,201,2015
Nunu Nunu,1,0,1%,0,1,0%,2.4,-,35:01:00,2.6,153,284,9,-177,897,2015
Syndra Syndra,1,0,1%,0,1,0%,5,-,55:27:00,9.2,296,357,9,785,110,2015
Twitch Twitch,1,0,1%,0,1,0%,1.5,-,33:09:00,6.4,478,313,-29,-1096,-469,2015
Vi Vi,1,0,1%,0,1,0%,0.2,-,43:29:00,2.9,69,244,-9,-445,-221,2015
Vladimir Vladimir,1,0,1%,1,0,100%,2.7,-,43:29:00,7.3,417,344,29,801,690,2015
Aatrox Aatrox,0,0,0%,,,,,-,,,,,,,,2015
Akali Akali,0,0,0%,,,,,-,,,,,,,,2015
Amumu Amumu,0,0,0%,,,,,-,,,,,,,,2015
Chogath Chogath,0,0,0%,,,,,-,,,,,,,,2015
Corki Corki,0,0,0%,,,,,-,,,,,,,,2015
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2015
Ezreal Ezreal,0,0,0%,,,,,-,,,,,,,,2015
Fiddlesticks Fiddlesticks,0,0,0%,,,,,-,,,,,,,,2015
Galio Galio,0,0,0%,,,,,-,,,,,,,,2015
Garen Garen,0,0,0%,,,,,-,,,,,,,,2015
Heimerdinger Heimerdinger,0,0,0%,,,,,-,,,,,,,,2015
Jax Jax,0,0,0%,,,,,-,,,,,,,,2015
Karma Karma,0,0,0%,,,,,-,,,,,,,,2015
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2015
Kayle Kayle,0,0,0%,,,,,-,,,,,,,,2015
KhaZix KhaZix,0,0,0%,,,,,-,,,,,,,,2015
Lux Lux,0,0,0%,,,,,-,,,,,,,,2015
Malzahar Malzahar,0,0,0%,,,,,-,,,,,,,,2015
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2015
Miss Fortune Miss Fortune,0,0,0%,,,,,-,,,,,,,,2015
Nami Nami,0,0,0%,,,,,-,,,,,,,,2015
Nasus Nasus,0,0,0%,,,,,-,,,,,,,,2015
Nocturne Nocturne,0,0,0%,,,,,-,,,,,,,,2015
Pantheon Pantheon,0,0,0%,,,,,-,,,,,,,,2015
Poppy Poppy,0,0,0%,,,,,-,,,,,,,,2015
Quinn Quinn,0,0,0%,,,,,-,,,,,,,,2015
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2015
