Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Sejuani Sejuani,0,0,0%,,,,,-,,,,,,,,2015
Shaco Shaco,0,0,0%,,,,,-,,,,,,,,2015
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2015
Singed Singed,0,0,0%,,,,,-,,,,,,,,2015
Sion Sion,0,0,0%,,,,,-,,,,,,,,2015
Sona Sona,0,0,0%,,,,,-,,,,,,,,2015
Soraka Soraka,0,0,0%,,,,,-,,,,,,,,2015
Swain Swain,0,0,0%,,,,,-,,,,,,,,2015
Talon Talon,0,0,0%,,,,,-,,,,,,,,2015
Taric Taric,0,0,0%,,,,,-,,,,,,,,2015
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2015
Trundle Trundle,0,0,0%,,,,,-,,,,,,,,2015
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,,2015
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2015
Urgot Urgot,0,0,0%,,,,,-,,,,,,,,2015
Volibear Volibear,0,0,0%,,,,,-,,,,,,,,2015
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2015
Wukong Wukong,0,0,0%,,,,,-,,,,,,,,2015
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2015
Xin Zhao Xin Zhao,0,0,0%,,,,,-,,,,,,,,2015
Yorick Yorick,0,0,0%,,,,,-,,,,,,,,2015
Ziggs Ziggs,0,0,0%,,,,,-,,,,,,,,2015
Zilean Zilean,0,0,0%,,,,,-,,,,,,,,2015
Zyra Zyra,0,0,0%,,,,,-,,,,,,,,2015
VelKoz VelKoz,0,0,0%,,,,,-,,,,,,,,2015
Kindred Kindred,0,0,0%,,,,,-,,,,,,,,2015
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2015
Jhin Jhin,0,0,0%,,,,,-,,,,,,,,2015
Aurelion Sol Aurelion Sol,0,0,0%,,,,,-,,,,,,,,2015
Taliyah Taliyah,0,0,0%,,,,,-,,,,,,,,2015
Kled Kled,0,0,0%,,,,,-,,,,,,,,2015
Ivern Ivern,0,0,0%,,,,,-,,,,,,,,2015
Camille Camille,0,0,0%,,,,,-,,,,,,,,2015
Xayah Xayah,0,0,0%,,,,,-,,,,,,,,2015
Rakan Rakan,0,0,0%,,,,,-,,,,,,,,2015
Kayn Kayn,0,0,0%,,,,,-,,,,,,,,2015
Ornn Ornn,0,0,0%,,,,,-,,,,,,,,2015
Zoe Zoe,0,0,0%,,,,,-,,,,,,,,2015
Kaisa Kaisa,0,0,0%,,,,,-,,,,,,,,2015
Pyke Pyke,0,0,0%,,,,,-,,,,,,,,2015
Neeko Neeko,0,0,0%,,,,,-,,,,,,,,2015
Sylas Sylas,0,0,0%,,,,,-,,,,,,,,2015
Yuumi Yuumi,0,0,0%,,,,,-,,,,,,,,2015
Qiyana Qiyana,0,0,0%,,,,,-,,,,,,,,2015
Senna Senna,0,0,0%,,,,,-,,,,,,,,2015
Aphelios Aphelios,0,0,0%,,,,,-,,,,,,,,2015
Sett Sett,0,0,0%,,,,,-,,,,,,,,2015
Lillia Lillia,0,0,0%,,,,,-,,,,,,,,2015
Yone Yone,0,0,0%,,,,,-,,,,,,,,2015
Samira Samira,0,0,0%,,,,,-,,,,,,,,2015
Seraphine Seraphine,0,0,0%,,,,,-,,,,,,,,2015
Rell Rell,0,0,0%,,,,,-,,,,,,,,2015
Viego Viego,0,0,0%,,,,,-,,,,,,,,2015
Gwen Gwen,0,0,0%,,,,,-,,,,,,,,2015
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2015
Vex Vex,0,0,0%,,,,,-,,,,,,,,2015
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2015
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2015
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2015
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2015
KSante KSante,0,0,0%,,,,,-,,,,,,,,2015
Milio Milio,0,0,0%,,,,,-,,,,,,,,2015
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2015
Briar Briar,0,0,0%,,,,,-,,,,,,,,2015
