Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Fiora Fiora,2,0,3%,0,2,0%,3,-,34:54:00,10.3,501,429,16.5,900,726,2018
Hecarim Hecarim,1,1,3%,1,0,100%,4,10,36:30:00,9.4,416,444,18,870,321,2018
Kalista Kalista,2,0,3%,1,1,50%,3.6,-,28:21:00,9.5,330,402,-9.5,-8,-68,2018
Pyke Pyke,0,2,3%,,,,,3.5,,,,,,,,2018
Ahri Ahri,1,0,1%,1,0,100%,3.3,-,29:45:00,9,390,418,-14,-1183,-1199,2018
Ashe Ashe,1,0,1%,0,1,0%,5,-,43:59:00,10,397,404,-3,382,267,2018
Brand Brand,1,0,1%,0,1,0%,2.4,-,43:41:00,8.6,876,420,0,177,-489,2018
Elise Elise,1,0,1%,0,1,0%,2,-,27:20:00,3.9,207,246,-3,-991,-8,2018
Evelynn Evelynn,1,0,1%,0,1,0%,2,-,25:10:00,5.1,266,279,-20,-504,-1211,2018
Kassadin Kassadin,1,0,1%,0,1,0%,0.3,-,28:15:00,7.2,152,293,-63,-2241,-1986,2018
Lulu Lulu,1,0,1%,0,1,0%,-,-,35:28:00,9.4,308,359,-8,-239,-175,2018
Mordekaiser Mordekaiser,1,0,1%,0,1,0%,1,-,33:14:00,7.5,322,304,-13,-365,-158,2018
Nami Nami,1,0,1%,0,1,0%,0.3,-,22:54,0.4,167,181,-12,-721,-742,2018
Nidalee Nidalee,1,0,1%,0,1,0%,0.8,-,24:35:00,5.2,347,280,-2,-620,-662,2018
Singed Singed,1,0,1%,1,0,100%,12,-,32:55:00,9.8,540,431,-9,24,514,2018
Trundle Trundle,1,0,1%,0,1,0%,1,-,32:55:00,3.9,163,262,-7,-499,-754,2018
RekSai RekSai,1,0,1%,1,0,100%,6,-,34:57:00,6,520,442,4,733,684,2018
Bard Bard,1,0,1%,0,1,0%,1.5,-,32:20:00,0.8,208,213,-14,-457,695,2018
Kled Kled,1,0,1%,1,0,100%,9,-,27:20:00,8.6,360,394,-10,-323,-190,2018
Amumu Amumu,0,0,0%,,,,,-,,,,,,,,2018
Anivia Anivia,0,0,0%,,,,,-,,,,,,,,2018
Annie Annie,0,0,0%,,,,,-,,,,,,,,2018
Blitzcrank Blitzcrank,0,0,0%,,,,,-,,,,,,,,2018
Caitlyn Caitlyn,0,0,0%,,,,,-,,,,,,,,2018
Corki Corki,0,0,0%,,,,,-,,,,,,,,2018
Diana Diana,0,0,0%,,,,,-,,,,,,,,2018
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2018
Fiddlesticks Fiddlesticks,0,0,0%,,,,,-,,,,,,,,2018
Fizz Fizz,0,0,0%,,,,,-,,,,,,,,2018
Garen Garen,0,0,0%,,,,,-,,,,,,,,2018
Janna Janna,0,0,0%,,,,,-,,,,,,,,2018
Jinx Jinx,0,0,0%,,,,,-,,,,,,,,2018
Karma Karma,0,0,0%,,,,,-,,,,,,,,2018
Karthus Karthus,0,0,0%,,,,,-,,,,,,,,2018
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2018
Kayle Kayle,0,0,0%,,,,,-,,,,,,,,2018
Kennen Kennen,0,0,0%,,,,,-,,,,,,,,2018
KhaZix KhaZix,0,0,0%,,,,,-,,,,,,,,2018
KogMaw KogMaw,0,0,0%,,,,,-,,,,,,,,2018
Lux Lux,0,0,0%,,,,,-,,,,,,,,2018
Malphite Malphite,0,0,0%,,,,,-,,,,,,,,2018
Maokai Maokai,0,0,0%,,,,,-,,,,,,,,2018
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2018
Miss Fortune Miss Fortune,0,0,0%,,,,,-,,,,,,,,2018
Morgana Morgana,0,0,0%,,,,,-,,,,,,,,2018
Nasus Nasus,0,0,0%,,,,,-,,,,,,,,2018
Nunu Nunu,0,0,0%,,,,,-,,,,,,,,2018
Orianna Orianna,0,0,0%,,,,,-,,,,,,,,2018
Pantheon Pantheon,0,0,0%,,,,,-,,,,,,,,2018
Quinn Quinn,0,0,0%,,,,,-,,,,,,,,2018
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2018
Renekton Renekton,0,0,0%,,,,,-,,,,,,,,2018
Rengar Rengar,0,0,0%,,,,,-,,,,,,,,2018
Riven Riven,0,0,0%,,,,,-,,,,,,,,2018
Rumble Rumble,0,0,0%,,,,,-,,,,,,,,2018
Sejuani Sejuani,0,0,0%,,,,,-,,,,,,,,2018
Shaco Shaco,0,0,0%,,,,,-,,,,,,,,2018
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2018
Sona Sona,0,0,0%,,,,,-,,,,,,,,2018
Soraka Soraka,0,0,0%,,,,,-,,,,,,,,2018
Talon Talon,0,0,0%,,,,,-,,,,,,,,2018
Taric Taric,0,0,0%,,,,,-,,,,,,,,2018
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2018
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,,2018
Twisted Fate Twisted Fate,0,0,0%,,,,,-,,,,,,,,2018
Twitch Twitch,0,0,0%,,,,,-,,,,,,,,2018
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2018
Vayne Vayne,0,0,0%,,,,,-,,,,,,,,2018
Veigar Veigar,0,0,0%,,,,,-,,,,,,,,2018
Vi Vi,0,0,0%,,,,,-,,,,,,,,2018
Vladimir Vladimir,0,0,0%,,,,,-,,,,,,,,2018
Volibear Volibear,0,0,0%,,,,,-,,,,,,,,2018
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2018
Wukong Wukong,0,0,0%,,,,,-,,,,,,,,2018
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2018
Yorick Yorick,0,0,0%,,,,,-,,,,,,,,2018
Zed Zed,0,0,0%,,,,,-,,,,,,,,2018
Ziggs Ziggs,0,0,0%,,,,,-,,,,,,,,2018
Zyra Zyra,0,0,0%,,,,,-,,,,,,,,2018
Gnar Gnar,0,0,0%,,,,,-,,,,,,,,2018
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2018
Aurelion Sol Aurelion Sol,0,0,0%,,,,,-,,,,,,,,2018
Ivern Ivern,0,0,0%,,,,,-,,,,,,,,2018
Kayn Kayn,0,0,0%,,,,,-,,,,,,,,2018
Neeko Neeko,0,0,0%,,,,,-,,,,,,,,2018
Sylas Sylas,0,0,0%,,,,,-,,,,,,,,2018
Yuumi Yuumi,0,0,0%,,,,,-,,,,,,,,2018
Qiyana Qiyana,0,0,0%,,,,,-,,,,,,,,2018
Senna Senna,0,0,0%,,,,,-,,,,,,,,2018
Aphelios Aphelios,0,0,0%,,,,,-,,,,,,,,2018
Sett Sett,0,0,0%,,,,,-,,,,,,,,2018
Lillia Lillia,0,0,0%,,,,,-,,,,,,,,2018
Yone Yone,0,0,0%,,,,,-,,,,,,,,2018
Samira Samira,0,0,0%,,,,,-,,,,,,,,2018
Seraphine Seraphine,0,0,0%,,,,,-,,,,,,,,2018
Rell Rell,0,0,0%,,,,,-,,,,,,,,2018
Viego Viego,0,0,0%,,,,,-,,,,,,,,2018
Gwen Gwen,0,0,0%,,,,,-,,,,,,,,2018
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2018
Vex Vex,0,0,0%,,,,,-,,,,,,,,2018
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2018
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2018
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2018
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2018
KSante KSante,0,0,0%,,,,,-,,,,,,,,2018
Milio Milio,0,0,0%,,,,,-,,,,,,,,2018
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2018
Briar Briar,0,0,0%,,,,,-,,,,,,,,2018
