Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Aatrox Aatrox,31,45,99%,17,14,55%,2.6,3.9,31:34:00,9,383,388,-7.6,-297,-195,2018
Alistar Alistar,28,47,97%,15,13,54%,3.1,4.2,31:47:00,1.5,113,232,2.6,-153,24,2018
Urgot Urgot,28,45,95%,13,15,46%,2.4,4.5,32:24:00,8.2,370,375,0.7,109,-6,2018
Irelia Irelia,24,40,83%,14,10,58%,2.7,4.2,30:30:00,9.3,361,417,7,180,80,2018
Akali Akali,11,51,81%,8,3,73%,4,3.5,37:12:00,8.8,448,391,1.5,-2,5,2018
Xayah Xayah,34,28,81%,17,17,50%,4.6,3.8,33:39:00,10.2,524,444,-1.5,30,-127,2018
Kaisa Kaisa,43,19,81%,21,22,49%,4.3,4.8,31:55:00,10.1,486,436,-3.3,-131,-194,2018
Rakan Rakan,31,25,73%,17,14,55%,3.9,4.8,31:35:00,0.5,152,245,-17.2,51,-53,2018
Nocturne Nocturne,22,31,69%,15,7,68%,3.1,4.7,34:15:00,5.2,223,327,1.4,-7,108,2018
LeBlanc LeBlanc,17,34,66%,12,5,71%,4.4,6.8,33:52:00,8.4,543,403,7.5,346,357,2018
Tahm Kench Tahm Kench,16,34,65%,7,9,44%,2.4,3,34:00:00,2,112,242,6.6,208,212,2018
Sion Sion,29,15,57%,13,16,45%,3.3,5.3,32:24:00,7.6,318,335,-6.7,-239,-219,2018
Xin Zhao Xin Zhao,25,19,57%,14,11,56%,3.5,8.3,31:23:00,4.9,266,336,-0.2,90,-24,2018
Lissandra Lissandra,22,21,56%,7,15,32%,2.6,8.2,30:49:00,8.9,412,375,6.1,31,202,2018
Taliyah Taliyah,17,25,55%,10,7,59%,4.6,6.1,32:30:00,5.7,377,351,3,243,373,2018
Camille Camille,17,25,55%,8,9,47%,2.3,6.2,31:32:00,6.8,287,369,-1.8,-3,-152,2018
Gragas Gragas,32,9,53%,13,19,41%,2.8,7.2,34:09:00,3.4,250,280,-9.3,-188,-158,2018
Syndra Syndra,19,21,52%,9,10,47%,3.6,8.5,34:12:00,9.1,476,383,6.8,174,125,2018
Galio Galio,21,17,49%,10,11,48%,3.2,8.4,31:29:00,8.7,343,369,-8.2,-217,-266,2018
Thresh Thresh,21,15,47%,9,12,43%,2.9,4.4,33:16:00,1,143,226,2.4,24,25,2018
Ryze Ryze,17,17,44%,8,9,47%,3.4,6.9,31:02:00,9.8,420,402,3.7,-10,-68,2018
Braum Braum,24,6,39%,13,11,54%,3.9,5.7,31:06:00,1.9,146,249,7.9,102,-55,2018
Shen Shen,16,12,36%,9,7,56%,3.6,6.6,32:15:00,5.1,173,309,-1.2,-164,-51,2018
Olaf Olaf,16,11,35%,7,9,44%,4.6,6,34:13:00,5,281,333,4.3,228,177,2018
Sivir Sivir,18,9,35%,12,6,67%,5.9,7.2,33:54:00,10.8,588,455,1.7,2,219,2018
Ornn Ornn,12,13,32%,10,2,83%,4.4,7.8,35:22:00,7.6,326,353,-2.5,-217,-183,2018
Lee Sin Lee Sin,17,7,31%,9,8,53%,3.7,8,30:36:00,5,214,336,0.4,125,1,2018
Lucian Lucian,15,8,30%,9,6,60%,4.6,7.6,31:18:00,10.2,510,441,19.9,586,418,2018
Kindred Kindred,6,17,30%,2,4,33%,1.9,7.4,32:13:00,5.5,256,324,6.8,-8,256,2018
Varus Varus,11,11,29%,5,6,45%,3,6.9,30:02:00,9.4,389,408,-1.3,-154,-107,2018
Swain Swain,11,8,25%,5,6,45%,2.7,7.1,30:15:00,8.4,504,387,-5.4,-10,-136,2018
Heimerdinger Heimerdinger,2,13,19%,2,0,100%,-,2.1,34:38:00,10.3,625,444,9,167,554,2018
Tristana Tristana,9,5,18%,4,5,44%,4.8,7.6,31:15:00,10.6,450,427,-8,-195,-49,2018
Jayce Jayce,5,8,17%,3,2,60%,2.3,3,33:58:00,9.4,728,425,21.8,780,572,2018
Leona Leona,11,2,17%,7,4,64%,3.2,8.5,31:37:00,1.8,122,250,16.5,-51,150,2018
Viktor Viktor,7,6,17%,3,4,43%,3.1,4.7,28:58:00,8.4,613,410,19.4,1107,929,2018
Poppy Poppy,8,3,14%,2,6,25%,1.9,9,35:50:00,6.4,266,317,-4.1,-138,6,2018
Skarner Skarner,3,8,14%,0,3,0%,2.1,8.9,35:41:00,4.9,162,297,8,-174,92,2018
Jhin Jhin,6,5,14%,2,4,33%,3.4,7.6,32:43:00,10.6,363,404,1,-307,264,2018
Ezreal Ezreal,8,1,12%,3,5,38%,3,10,32:00:00,10,667,419,-10.4,-170,120,2018
Zilean Zilean,2,7,12%,1,1,50%,7.8,2.9,36:01:00,9.5,616,446,12.5,390,1301,2018
Draven Draven,2,6,10%,1,1,50%,6.7,5.7,32:34:00,9.8,486,483,20.5,908,410,2018
Azir Azir,6,1,9%,3,3,50%,5,7,33:03:00,10,505,418,7.3,10,248,2018
VelKoz VelKoz,2,3,6%,1,1,50%,2.5,8.3,38:06:00,8.7,434,368,-0.5,336,366,2018
Ekko Ekko,4,1,6%,1,3,25%,1.4,10,34:16:00,8.4,429,374,-13.8,-1075,-1070,2018
Graves Graves,4,0,5%,1,3,25%,3.1,-,29:13:00,6,277,347,9.2,-247,-209,2018
Jax Jax,2,2,5%,1,1,50%,2.8,9,29:43:00,7.9,277,379,11,-134,690,2018
Cassiopeia Cassiopeia,3,0,4%,0,3,0%,1.2,-,34:21:00,10.3,307,384,11.7,254,47,2018
Chogath Chogath,3,0,4%,1,2,33%,2.1,-,35:03:00,7.5,345,330,-7.7,-176,-232,2018
Gangplank Gangplank,2,1,4%,1,1,50%,6.3,8,32:30:00,9.5,846,491,-4,777,448,2018
Jarvan IV Jarvan IV,3,0,4%,1,2,33%,2.9,-,33:47:00,5,215,332,-7.3,-342,-1162,2018
Malzahar Malzahar,1,2,4%,0,1,0%,1.3,8.5,34:51:00,9.2,385,344,9,-29,216,2018
Nautilus Nautilus,2,1,4%,1,1,50%,1.7,9,42:45:00,2.1,176,234,5.5,-108,-310,2018
Yasuo Yasuo,1,2,4%,1,0,100%,2,10,47:43:00,8,278,372,-9,-537,-736,2018
Zac Zac,1,2,4%,1,0,100%,-,9,27:54:00,4.9,286,326,-18,-430,-378,2018
Zoe Zoe,2,1,4%,0,2,0%,2,8,38:54:00,8.6,332,352,-29,-463,-970,2018
Darius Darius,0,2,3%,,,,,8,,,,,,,,2018
