Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Lulu Lulu,2,0,3%,1,1,50%,4.4,-,38:09:00,0.6,129,239,-22,-639,-474,2019
Sivir Sivir,1,1,3%,1,0,100%,-,7,40:54:00,11.8,566,543,-18,-623,-192,2019
Sona Sona,1,1,3%,0,1,0%,2,6,43:28:00,5.9,794,424,-77,30,-684,2019
Volibear Volibear,1,1,3%,0,1,0%,1.8,10,26:49:00,1.3,125,210,0,-150,139,2019
Braum Braum,0,2,3%,,,,,9.5,,,,,,,,2019
Kalista Kalista,0,2,3%,,,,,9,,,,,,,,2019
Jhin Jhin,0,2,3%,,,,,7.5,,,,,,,,2019
Sylas Sylas,1,1,3%,0,1,0%,3.8,9,42:02:00,5.7,431,352,26,255,1660,2019
Anivia Anivia,1,0,1%,0,1,0%,0.5,-,32:18:00,11.2,109,397,-6,-1394,-257,2019
Caitlyn Caitlyn,1,0,1%,0,1,0%,3,-,31:57:00,9.3,485,422,4,992,-522,2019
Fiddlesticks Fiddlesticks,1,0,1%,1,0,100%,3.3,-,33:47:00,0.5,147,256,-1,-1506,-1221,2019
KhaZix KhaZix,1,0,1%,0,1,0%,3,-,30:28:00,6.3,218,340,31,760,365,2019
KogMaw KogMaw,1,0,1%,1,0,100%,3.3,-,43:53:00,9.2,1184,509,16,-38,290,2019
Malphite Malphite,1,0,1%,1,0,100%,12,-,28:39:00,8.6,390,424,-3,-721,-581,2019
Rengar Rengar,1,0,1%,0,1,0%,1.3,-,26:08:00,8,402,404,42,1866,582,2019
Sejuani Sejuani,1,0,1%,0,1,0%,1,-,26:10:00,4.7,72,275,2,50,26,2019
Urgot Urgot,1,0,1%,1,0,100%,3.6,-,48:39:00,5.9,685,418,-40,-972,-1569,2019
Viktor Viktor,1,0,1%,0,1,0%,1.5,-,32:36:00,7.5,426,314,-18,-437,-171,2019
Yorick Yorick,1,0,1%,1,0,100%,2.5,-,31:04:00,8.2,335,407,-15,-745,-72,2019
Zilean Zilean,1,0,1%,0,1,0%,2,-,29:30:00,9.2,403,343,-19,-823,-142,2019
Bard Bard,1,0,1%,0,1,0%,1.4,-,39:04:00,0.8,326,233,-27,-1000,-471,2019
Ekko Ekko,1,0,1%,1,0,100%,5,-,27:56:00,5.8,368,382,7,979,567,2019
Neeko Neeko,1,0,1%,0,1,0%,1.7,-,34:33:00,8.5,264,353,-10,-281,59,2019
Ahri Ahri,0,0,0%,,,,,-,,,,,,,,2019
Amumu Amumu,0,0,0%,,,,,-,,,,,,,,2019
Annie Annie,0,0,0%,,,,,-,,,,,,,,2019
Ashe Ashe,0,0,0%,,,,,-,,,,,,,,2019
Brand Brand,0,0,0%,,,,,-,,,,,,,,2019
Darius Darius,0,0,0%,,,,,-,,,,,,,,2019
Diana Diana,0,0,0%,,,,,-,,,,,,,,2019
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2019
Evelynn Evelynn,0,0,0%,,,,,-,,,,,,,,2019
Fizz Fizz,0,0,0%,,,,,-,,,,,,,,2019
Graves Graves,0,0,0%,,,,,-,,,,,,,,2019
Hecarim Hecarim,0,0,0%,,,,,-,,,,,,,,2019
Janna Janna,0,0,0%,,,,,-,,,,,,,,2019
Kassadin Kassadin,0,0,0%,,,,,-,,,,,,,,2019
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2019
Lux Lux,0,0,0%,,,,,-,,,,,,,,2019
Malzahar Malzahar,0,0,0%,,,,,-,,,,,,,,2019
Maokai Maokai,0,0,0%,,,,,-,,,,,,,,2019
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2019
Miss Fortune Miss Fortune,0,0,0%,,,,,-,,,,,,,,2019
Nami Nami,0,0,0%,,,,,-,,,,,,,,2019
Nasus Nasus,0,0,0%,,,,,-,,,,,,,,2019
Nidalee Nidalee,0,0,0%,,,,,-,,,,,,,,2019
Nunu Nunu,0,0,0%,,,,,-,,,,,,,,2019
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2019
Riven Riven,0,0,0%,,,,,-,,,,,,,,2019
Shaco Shaco,0,0,0%,,,,,-,,,,,,,,2019
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2019
Singed Singed,0,0,0%,,,,,-,,,,,,,,2019
Soraka Soraka,0,0,0%,,,,,-,,,,,,,,2019
Swain Swain,0,0,0%,,,,,-,,,,,,,,2019
Talon Talon,0,0,0%,,,,,-,,,,,,,,2019
Taric Taric,0,0,0%,,,,,-,,,,,,,,2019
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2019
Trundle Trundle,0,0,0%,,,,,-,,,,,,,,2019
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,,2019
Twitch Twitch,0,0,0%,,,,,-,,,,,,,,2019
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2019
Vi Vi,0,0,0%,,,,,-,,,,,,,,2019
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2019
Wukong Wukong,0,0,0%,,,,,-,,,,,,,,2019
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2019
Xin Zhao Xin Zhao,0,0,0%,,,,,-,,,,,,,,2019
Zac Zac,0,0,0%,,,,,-,,,,,,,,2019
Zed Zed,0,0,0%,,,,,-,,,,,,,,2019
Ziggs Ziggs,0,0,0%,,,,,-,,,,,,,,2019
Zyra Zyra,0,0,0%,,,,,-,,,,,,,,2019
VelKoz VelKoz,0,0,0%,,,,,-,,,,,,,,2019
Kindred Kindred,0,0,0%,,,,,-,,,,,,,,2019
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2019
Aurelion Sol Aurelion Sol,0,0,0%,,,,,-,,,,,,,,2019
Ivern Ivern,0,0,0%,,,,,-,,,,,,,,2019
Kayn Kayn,0,0,0%,,,,,-,,,,,,,,2019
Senna Senna,0,0,0%,,,,,-,,,,,,,,2019
Aphelios Aphelios,0,0,0%,,,,,-,,,,,,,,2019
Sett Sett,0,0,0%,,,,,-,,,,,,,,2019
Lillia Lillia,0,0,0%,,,,,-,,,,,,,,2019
Yone Yone,0,0,0%,,,,,-,,,,,,,,2019
Samira Samira,0,0,0%,,,,,-,,,,,,,,2019
Seraphine Seraphine,0,0,0%,,,,,-,,,,,,,,2019
Rell Rell,0,0,0%,,,,,-,,,,,,,,2019
Viego Viego,0,0,0%,,,,,-,,,,,,,,2019
Gwen Gwen,0,0,0%,,,,,-,,,,,,,,2019
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2019
Vex Vex,0,0,0%,,,,,-,,,,,,,,2019
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2019
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2019
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2019
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2019
KSante KSante,0,0,0%,,,,,-,,,,,,,,2019
Milio Milio,0,0,0%,,,,,-,,,,,,,,2019
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2019
Briar Briar,0,0,0%,,,,,-,,,,,,,,2019
