Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Pantheon Pantheon,0,77,100%,,,,,2.3,,,,,,,,2019
Qiyana Qiyana,15,56,92%,8,7,53%,3.1,3.9,30:30:00,6.3,386,363,-9.1,-346,-452,2019
Akali Akali,21,46,87%,12,9,57%,4.7,4,32:26:00,8.9,420,407,8.3,188,384,2019
Renekton Renekton,20,46,86%,12,8,60%,2.5,4,33:20:00,8.1,374,407,2.8,550,321,2019
Xayah Xayah,34,30,83%,24,10,71%,5.9,4.2,31:41:00,10.2,473,470,10,609,273,2019
Kaisa Kaisa,50,12,81%,25,25,50%,4.8,6.4,31:54:00,9.6,429,456,-2.3,8,-48,2019
Gragas Gragas,41,16,74%,26,15,63%,3.6,4.4,32:34:00,3.9,269,303,-9.9,-136,-131,2019
Kayle Kayle,21,36,74%,10,11,48%,2.7,5.7,31:28:00,8.4,372,402,-6.8,-284,-188,2019
Syndra Syndra,15,40,71%,4,11,27%,2.5,4.9,33:50:00,8.9,428,394,9.7,199,101,2019
Nautilus Nautilus,37,17,70%,20,17,54%,2.6,6.9,33:01:00,2.4,173,259,8,0,215,2019
Ryze Ryze,30,22,68%,17,13,57%,3.1,6.2,32:47:00,9.7,429,437,9.8,121,232,2019
Lee Sin Lee Sin,42,8,65%,19,23,45%,3.2,6.5,33:06:00,4.8,227,325,-0.9,-47,-95,2019
Elise Elise,23,22,58%,11,12,48%,3.2,5,34:52:00,5.2,352,342,4.5,460,328,2019
Gangplank Gangplank,26,18,57%,14,12,54%,3.8,7,33:51:00,8.1,549,416,-10.9,-93,-112,2019
Rakan Rakan,23,20,56%,13,10,57%,4.4,6.3,31:24:00,0.6,148,250,-11.3,-84,-55,2019
LeBlanc LeBlanc,10,27,48%,7,3,70%,4.8,6.7,33:54:00,8,471,389,0.8,-114,107,2019
Jayce Jayce,16,11,35%,7,9,44%,2.4,6.4,31:49:00,8.3,547,399,8,187,5,2019
Yasuo Yasuo,13,14,35%,9,4,69%,3.3,5.8,31:22:00,9.1,275,419,7.2,166,427,2019
Yuumi Yuumi,9,18,35%,3,6,33%,5.5,3.9,36:14:00,1.9,719,306,6.9,559,555,2019
Ezreal Ezreal,16,9,32%,6,10,38%,2.9,8.4,32:24:00,10,554,439,-2.9,-343,-432,2019
RekSai RekSai,13,12,32%,7,6,54%,3.4,8.4,32:56:00,5.1,242,341,2.1,-44,5,2019
Leona Leona,15,7,29%,10,5,67%,2.2,8.6,34:50:00,2,106,257,6.1,-28,-114,2019
Tristana Tristana,10,11,27%,2,8,20%,2.1,6.3,33:38:00,8.4,352,382,-15.1,-317,-436,2019
Jarvan IV Jarvan IV,10,10,26%,3,7,30%,2.9,5.1,32:06:00,4.6,147,303,-4.2,-201,-295,2019
Vladimir Vladimir,11,9,26%,6,5,55%,2.5,8.3,31:19:00,8.1,611,403,4.1,-63,-261,2019
Olaf Olaf,8,10,23%,5,3,63%,2.6,8.2,30:35:00,5,297,347,7.2,15,-145,2019
Galio Galio,12,5,22%,4,8,33%,2.6,7.6,31:15:00,4.3,275,289,-0.2,-193,-221,2019
Thresh Thresh,15,2,22%,8,7,53%,3.8,7.5,33:11:00,0.5,105,249,-12.3,182,-109,2019
Twisted Fate Twisted Fate,3,14,22%,1,2,33%,1.9,5.4,31:07:00,8.9,386,432,-0.3,408,-185,2019
Lucian Lucian,9,7,21%,2,7,22%,2.1,7.1,33:33:00,8.3,462,388,9.2,-2,101,2019
Irelia Irelia,4,11,19%,2,2,50%,1.8,8.5,36:16:00,8.5,352,393,2.8,-132,124,2019
Rumble Rumble,3,12,19%,1,2,33%,7.2,4.4,32:41:00,6.9,592,389,-14.3,-506,-402,2019
Kled Kled,5,10,19%,3,2,60%,3.6,9.1,31:17:00,7.3,237,355,-16,-609,-14,2019
Alistar Alistar,11,3,18%,4,7,36%,1.6,7.3,28:50:00,1.5,112,220,1,-249,-173,2019
Morgana Morgana,4,10,18%,2,2,50%,4,7.3,33:48:00,2.8,228,285,-7.5,-62,-40,2019
Veigar Veigar,5,8,17%,2,3,40%,4.9,6.9,30:03:00,8,391,393,-0.8,340,314,2019
Ornn Ornn,9,4,17%,6,3,67%,3.3,7.5,30:18:00,5.7,375,324,-8,-431,-238,2019
Pyke Pyke,7,6,17%,1,6,14%,1.8,8.8,34:14:00,2.1,134,275,-5.1,-323,-544,2019
Blitzcrank Blitzcrank,6,6,16%,2,4,33%,2,8.2,35:41:00,0.5,147,260,-2.3,684,273,2019
Camille Camille,7,5,16%,7,0,100%,4.6,7.4,30:04:00,8.3,355,416,-2,64,212,2019
Tahm Kench Tahm Kench,7,4,14%,5,2,71%,6.2,7.5,35:08:00,2.5,143,296,19.7,325,389,2019
Orianna Orianna,9,1,13%,5,4,56%,3.5,10,35:20:00,8.4,508,390,7.1,-258,-72,2019
Varus Varus,9,1,13%,6,3,67%,5.1,9,33:12:00,9.5,496,476,3,465,-43,2019
Gnar Gnar,8,2,13%,4,4,50%,3.6,9,32:55:00,7.6,372,369,-3.8,73,-147,2019
Aatrox Aatrox,7,2,12%,4,3,57%,2.3,9.5,27:18:00,7.6,418,377,-12.6,-213,272,2019
Cassiopeia Cassiopeia,7,2,12%,3,4,43%,1.9,9,32:56:00,8.1,398,385,-12.6,-524,-610,2019
Heimerdinger Heimerdinger,4,5,12%,1,3,25%,2.5,5.4,39:22:00,7.3,732,360,-21.5,-728,-96,2019
Quinn Quinn,2,7,12%,1,1,50%,2.2,3.9,30:10:00,7.7,608,383,2,156,-236,2019
Garen Garen,7,1,10%,3,4,43%,3.1,8,37:55:00,7.9,242,380,4.4,-398,-317,2019
Fiora Fiora,3,4,9%,1,2,33%,1.7,8,34:42:00,9.4,542,458,18,1077,937,2019
Nocturne Nocturne,4,3,9%,1,3,25%,1.5,4.3,30:46:00,5.5,223,309,8,-138,235,2019
Sion Sion,7,0,9%,1,6,14%,1.6,-,34:45:00,7.6,262,326,-1.3,-449,24,2019
Taliyah Taliyah,5,2,9%,2,3,40%,4.1,7,31:58:00,4.9,418,325,2.8,-92,185,2019
Shen Shen,6,0,8%,2,4,33%,1.5,-,30:38:00,4.6,184,294,-6.7,-1030,-644,2019
Vayne Vayne,2,4,8%,2,0,100%,6,8,31:15:00,9.5,309,460,18.5,1270,1236,2019
Jax Jax,1,4,6%,1,0,100%,-,8.8,27:56:00,8.6,158,367,6,80,-291,2019
Chogath Chogath,3,1,5%,1,2,33%,5,10,31:03:00,7.2,355,356,12.7,41,167,2019
Kennen Kennen,2,2,5%,1,1,50%,2.1,8.5,33:58:00,9.2,431,402,14.5,-842,-350,2019
Mordekaiser Mordekaiser,4,0,5%,0,4,0%,2.3,-,39:21:00,7.7,479,386,4,-42,126,2019
Skarner Skarner,2,2,5%,0,2,0%,2.2,7,32:28:00,4.9,119,303,0,-1076,-296,2019
Zoe Zoe,4,0,5%,1,3,25%,6.8,-,34:50:00,7.1,565,364,2.8,-314,147,2019
Draven Draven,2,1,4%,1,1,50%,3.6,10,30:29:00,9.2,280,452,-18.5,-1401,-786,2019
Karma Karma,1,2,4%,1,0,100%,6.5,9.5,36:21:00,0.4,154,227,-2,-329,91,2019
Karthus Karthus,2,1,4%,0,2,0%,2,9,35:12:00,5.8,426,316,22.5,510,500,2019
Lissandra Lissandra,2,1,4%,1,1,50%,2.3,9,30:03:00,8.2,330,381,1,164,-203,2019
Poppy Poppy,3,0,4%,1,2,33%,2.2,-,36:32:00,5.2,265,312,3,-161,148,2019
Azir Azir,3,0,4%,1,2,33%,2.1,-,27:30:00,8.8,486,395,1.3,-124,87,2019
Corki Corki,2,0,3%,1,1,50%,8,-,31:41:00,10.1,502,460,-2.5,1154,-116,2019
Jinx Jinx,2,0,3%,1,1,50%,6.3,-,30:33:00,9.9,412,461,22.5,98,114,2019
