Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Urgot Urgot,2,1,4%,1,1,50%,1,4,31:13:00,8.1,423,367,8,-110,-139,2017
Yasuo Yasuo,3,0,4%,1,2,33%,2.4,-,42:19:00,9.6,356,390,-1.3,121,-389,2017
Camille Camille,3,0,4%,1,2,33%,2,-,28:56:00,8.9,336,399,-1,17,-61,2017
Jax Jax,1,1,3%,0,1,0%,1.8,8,44:32:00,8,250,366,-26,-756,-1427,2017
Morgana Morgana,2,0,3%,0,2,0%,5.8,-,42:26:00,0.5,188,316,-0.5,768,556,2017
Nasus Nasus,1,1,3%,1,0,100%,-,9,20:52,9.8,421,449,11,509,441,2017
Sion Sion,0,2,3%,,,,,4.5,,,,,,,,2017
Vladimir Vladimir,1,1,3%,0,1,0%,6,9,32:25:00,9.4,619,350,-3,-362,-371,2017
Braum Braum,1,1,3%,1,0,100%,13,9,37:27:00,1.7,126,279,9,52,223,2017
Ashe Ashe,1,0,1%,1,0,100%,-,-,32:00:00,9.6,532,470,25,766,186,2017
Gangplank Gangplank,1,0,1%,0,1,0%,1.5,-,38:43:00,9.6,695,454,16,345,441,2017
Jinx Jinx,1,0,1%,0,1,0%,0,-,46:47:00,11.4,668,413,17,325,21,2017
Lissandra Lissandra,1,0,1%,1,0,100%,9,-,33:56:00,10.8,478,468,2,446,-152,2017
Mordekaiser Mordekaiser,1,0,1%,0,1,0%,0,-,23:59,5.8,157,266,-28,-1083,-1547,2017
Nami Nami,1,0,1%,0,1,0%,3.5,-,45:18:00,0.5,205,279,4,-1022,-1676,2017
Rengar Rengar,1,0,1%,0,1,0%,1.2,-,48:00:00,5.7,384,345,16,661,331,2017
Sona Sona,1,0,1%,0,1,0%,1.3,-,31:52:00,1.2,70,294,-3,-226,-686,2017
Twisted Fate Twisted Fate,0,1,1%,,,,,3,,,,,,,,2017
Zilean Zilean,1,0,1%,0,1,0%,2.8,-,48:00:00,0.7,258,299,1,-303,-479,2017
Bard Bard,0,1,1%,,,,,6,,,,,,,,2017
Ekko Ekko,1,0,1%,0,1,0%,3,-,48:02:00,9.6,411,427,-7,96,1018,2017
Tahm Kench Tahm Kench,1,0,1%,1,0,100%,1,-,37:47:00,1.6,144,268,19,-14,-213,2017
Aurelion Sol Aurelion Sol,1,0,1%,0,1,0%,2.5,-,54:10:00,9.5,837,405,1,491,819,2017
Aatrox Aatrox,0,0,0%,,,,,-,,,,,,,,2017
Ahri Ahri,0,0,0%,,,,,-,,,,,,,,2017
Akali Akali,0,0,0%,,,,,-,,,,,,,,2017
Amumu Amumu,0,0,0%,,,,,-,,,,,,,,2017
Anivia Anivia,0,0,0%,,,,,-,,,,,,,,2017
Annie Annie,0,0,0%,,,,,-,,,,,,,,2017
Brand Brand,0,0,0%,,,,,-,,,,,,,,2017
Darius Darius,0,0,0%,,,,,-,,,,,,,,2017
