match_id,Winner,Blue Picks,Red Picks
225,Red,"Aatrox,Sejuani,Jayce,Aphelios,Braum","Renekton,Kha'Zix,Gragas,Kai'Sa,Rell"
226,Blue,"Aatrox,Sejuani,LeBlanc,Ashe,Braum","Renekton,Ivern,Jayce,Aphelios,Rell"
227,Red,"Ornn,Viego,Tristana,Kai'Sa,Nautilus","Jax,Sejuani,Cassiopeia,Xayah,Rakan"
228,Red,"K'Sante,Rell,Ahri,Kai'Sa,Rakan","Fiora,Nautilus,Cassiopeia,Tristana,Taric"
229,Red,"K'Sante,Viego,Neeko,Xayah,Rakan","Ornn,Rell,Tristana,Kai'Sa,Nautilus"
230,Blue,"Kennen,Poppy,Tristana,Ezreal,Rakan","K'Sante,Rell,Azir,Varus,Renata Glasc"
231,Blue,"Gwen,Maokai,Azir,Xayah,Rakan","K'Sante,Sejuani,Xerath,Kai'Sa,Sett"
232,Red,"LeBlanc,Maokai,Jayce,Xayah,Nautilus","K'Sante,Sejuani,Ahri,Kai'Sa,Rakan"
233,Blue,"K'Sante,Sejuani,Tristana,Ziggs,Rakan","Poppy,Vi,Jayce,Ezreal,Maokai"
234,Blue,"Rumble,Vi,Jayce,Ezreal,Leona","Ornn,Maokai,Tristana,Zeri,Braum"
235,Red,"Rumble,Lillia,Jayce,Ezreal,Sett","Ornn,Maokai,Tristana,Zeri,Rakan"
236,Red,"Jax,Sejuani,Jayce,Kai'Sa,Sett","Renekton,Ivern,Tristana,Ezreal,Rell"
237,Blue,"Jax,Sejuani,Tristana,Kai'Sa,Nautilus","Renekton,Maokai,Jayce,Ezreal,Rell"
238,Red,"Kennen,Trundle,Tristana,Kai'Sa,Leona","Renekton,Poppy,Syndra,Ezreal,Rell"
239,Red,"Gnar,Maokai,Jayce,Kai'Sa,Sett","Renekton,Rell,Azir,Xayah,Rakan"
240,Red,"Ornn,Maokai,Tristana,Xayah,Braum","Aatrox,Sejuani,Sylas,Aphelios,Rakan"
241,Blue,"Rumble,Sejuani,Tristana,Varus,Sett","Jax,Poppy,Yone,Xayah,Rakan"
242,Red,"Ornn,Rell,Kai'Sa,Jinx,Thresh","Fiora,Sejuani,Ahri,Xayah,Rakan"
243,Red,"Rumble,Rell,Lissandra,Jinx,Thresh","Jax,Sejuani,Ahri,Xayah,Rakan"
244,Red,"K'Sante,Poppy,Ahri,Kai'Sa,Alistar","Ornn,Rell,Lucian,Xayah,Rakan"
