Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Wukong Wukong,3,4,8%,2,1,67%,2.6,9.3,46:53:00,7,406,393,-13.7,-721,-73,2021
Alistar Alistar,5,0,6%,2,3,40%,2.4,-,38:53:00,1,121,214,3.2,-234,-82,2021
Gangplank Gangplank,2,3,6%,2,0,100%,4.3,6,47:46:00,8.2,714,447,7.5,492,183,2021
Malphite Malphite,2,3,6%,0,2,0%,0.3,5.3,28:42:00,7.2,201,297,-33,-2132,-714,2021
Malzahar Malzahar,3,2,6%,2,1,67%,4.7,9,32:56:00,8.6,405,411,-19.3,-405,-194,2021
Urgot Urgot,0,5,6%,,,,,5.2,,,,,,,,2021
Yasuo Yasuo,4,1,6%,2,2,50%,3.6,3,36:38:00,9.4,264,420,-5,-210,-304,2021
Aatrox Aatrox,3,1,5%,2,1,67%,4.8,10,35:34:00,8.2,299,387,-12,44,173,2021
Fiddlesticks Fiddlesticks,2,2,5%,1,1,50%,2.2,9,39:00:00,5,341,315,-2,-48,-153,2021
Jinx Jinx,1,3,5%,0,1,0%,0.7,9,30:24:00,10.1,376,380,-13,-540,-1079,2021
Rumble Rumble,3,1,5%,1,2,33%,1.3,8,31:44:00,7.9,415,353,-8,-460,-114,2021
Tristana Tristana,3,1,5%,2,1,67%,4,9,31:43:00,9.7,326,427,-8,-278,241,2021
Taliyah Taliyah,1,3,5%,0,1,0%,1,6.3,35:03:00,5.4,299,308,11,654,549,2021
Annie Annie,2,1,4%,1,1,50%,4,5,28:08:00,5.6,396,329,-19.5,-160,-7,2021
Shen Shen,3,0,4%,1,2,33%,3.7,-,38:05:00,1.2,112,237,0.7,159,591,2021
Varus Varus,2,1,4%,0,2,0%,0.3,9,29:57:00,8.4,600,332,-11.5,-2159,-692,2021
Viktor Viktor,3,0,4%,0,3,0%,2.3,-,42:38:00,8.7,727,401,2,-657,345,2021
Zilean Zilean,3,0,4%,2,1,67%,10,-,36:29:00,1.1,60,240,-3,-353,-93,2021
Pyke Pyke,3,0,4%,1,2,33%,2.1,-,36:10:00,1.3,205,295,7.7,781,370,2021
Fiora Fiora,2,0,2%,2,0,100%,9.5,-,31:50:00,10.1,389,453,31,1169,1350,2021
Kassadin Kassadin,1,1,2%,1,0,100%,8,10,38:58:00,8.2,843,458,3,-25,-450,2021
Maokai Maokai,2,0,2%,1,1,50%,2.4,-,33:25:00,1.6,393,245,2,318,-59,2021
Kalista Kalista,1,1,2%,0,1,0%,4.3,7,46:59:00,8.4,509,435,19,1069,186,2021
Xayah Xayah,1,1,2%,0,1,0%,1,8,36:36:00,8.4,240,342,-3,-1150,-421,2021
Lillia Lillia,2,0,2%,1,1,50%,2.1,-,22:38,6.6,432,389,24,-160,574,2021
Ashe Ashe,1,0,1%,0,1,0%,1.2,-,30:50:00,7.3,410,358,-14,330,-673,2021
Sejuani Sejuani,1,0,1%,0,1,0%,5,-,38:29:00,4.4,326,298,19,-1615,173,2021
Shaco Shaco,1,0,1%,0,1,0%,0.3,-,27:02:00,4.6,141,247,-9,-1169,15,2021
Vladimir Vladimir,0,1,1%,,,,,9,,,,,,,,2021
Yone Yone,1,0,1%,0,1,0%,2,-,35:03:00,8.3,244,400,-9,-861,-297,2021
Seraphine Seraphine,1,0,1%,0,1,0%,10,-,37:17:00,8.1,326,386,1,77,659,2021
Ahri Ahri,0,0,0%,,,,,-,,,,,,,,2021
Akali Akali,0,0,0%,,,,,-,,,,,,,,2021
Anivia Anivia,0,0,0%,,,,,-,,,,,,,,2021
Blitzcrank Blitzcrank,0,0,0%,,,,,-,,,,,,,,2021
Brand Brand,0,0,0%,,,,,-,,,,,,,,2021
Caitlyn Caitlyn,0,0,0%,,,,,-,,,,,,,,2021
Cassiopeia Cassiopeia,0,0,0%,,,,,-,,,,,,,,2021
Chogath Chogath,0,0,0%,,,,,-,,,,,,,,2021
Corki Corki,0,0,0%,,,,,-,,,,,,,,2021
Darius Darius,0,0,0%,,,,,-,,,,,,,,2021
Diana Diana,0,0,0%,,,,,-,,,,,,,,2021
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2021
Elise Elise,0,0,0%,,,,,-,,,,,,,,2021
Evelynn Evelynn,0,0,0%,,,,,-,,,,,,,,2021
Fizz Fizz,0,0,0%,,,,,-,,,,,,,,2021
Garen Garen,0,0,0%,,,,,-,,,,,,,,2021
Hecarim Hecarim,0,0,0%,,,,,-,,,,,,,,2021
Heimerdinger Heimerdinger,0,0,0%,,,,,-,,,,,,,,2021
Janna Janna,0,0,0%,,,,,-,,,,,,,,2021
Karma Karma,0,0,0%,,,,,-,,,,,,,,2021
Karthus Karthus,0,0,0%,,,,,-,,,,,,,,2021
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2021
Kayle Kayle,0,0,0%,,,,,-,,,,,,,,2021
KhaZix KhaZix,0,0,0%,,,,,-,,,,,,,,2021
KogMaw KogMaw,0,0,0%,,,,,-,,,,,,,,2021
Lux Lux,0,0,0%,,,,,-,,,,,,,,2021
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2021
Mordekaiser Mordekaiser,0,0,0%,,,,,-,,,,,,,,2021
Morgana Morgana,0,0,0%,,,,,-,,,,,,,,2021
Nasus Nasus,0,0,0%,,,,,-,,,,,,,,2021
Nidalee Nidalee,0,0,0%,,,,,-,,,,,,,,2021
Nocturne Nocturne,0,0,0%,,,,,-,,,,,,,,2021
Nunu Nunu,0,0,0%,,,,,-,,,,,,,,2021
Pantheon Pantheon,0,0,0%,,,,,-,,,,,,,,2021
Quinn Quinn,0,0,0%,,,,,-,,,,,,,,2021
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2021
Rengar Rengar,0,0,0%,,,,,-,,,,,,,,2021
Riven Riven,0,0,0%,,,,,-,,,,,,,,2021
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2021
Singed Singed,0,0,0%,,,,,-,,,,,,,,2021
Sion Sion,0,0,0%,,,,,-,,,,,,,,2021
Sivir Sivir,0,0,0%,,,,,-,,,,,,,,2021
Skarner Skarner,0,0,0%,,,,,-,,,,,,,,2021
