Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Lucian Lucian,11,60,93%,6,5,55%,3,3.6,32:44:00,8.9,482,428,0,755,0,2020
Graves Graves,52,18,92%,23,29,44%,3.1,4.9,32:06:00,6.9,391,367,2.8,71,138,2020
Ornn Ornn,29,40,91%,14,15,48%,3.2,3.9,32:06:00,7.6,381,349,-5.1,-509,-49,2020
Nidalee Nidalee,20,48,89%,11,9,55%,4.3,4,31:10:00,6.8,387,369,5.4,134,224,2020
Syndra Syndra,28,40,89%,14,14,50%,3.2,4.4,32:48:00,8.8,500,387,11.3,200,179,2020
Twisted Fate Twisted Fate,16,46,82%,9,7,56%,4.4,3.3,30:25:00,8.3,490,431,1.1,663,289,2020
Camille Camille,14,42,74%,8,6,57%,2.8,3.7,31:48:00,8,494,419,-2.9,374,158,2020
Ashe Ashe,32,20,68%,15,17,47%,3.6,6.6,32:28:00,9,498,414,1.7,208,56,2020
Renekton Renekton,22,30,68%,8,14,36%,1.9,5.3,32:02:00,8.2,377,383,11.1,-11,147,2020
Senna Senna,31,12,57%,14,17,45%,4.8,7.2,31:11:00,7.7,444,376,-2.7,-247,-193,2020
Leona Leona,24,18,55%,17,7,71%,2.6,7.8,32:34:00,1.2,130,237,0.5,116,58,2020
Jhin Jhin,31,11,55%,20,11,65%,6.9,7.5,31:10:00,9.1,486,433,-0.3,195,119,2020
Ezreal Ezreal,21,19,53%,12,9,57%,3,8.1,33:15:00,9.3,683,428,-4,-402,-51,2020
Orianna Orianna,28,12,53%,15,13,54%,4.4,6.7,33:36:00,9.1,438,409,2.2,-171,36,2020
Sett Sett,17,23,53%,9,8,53%,2.6,4.8,31:35:00,4.3,321,314,4.8,271,-57,2020
Caitlyn Caitlyn,11,28,51%,6,5,55%,5.3,4.9,32:26:00,9.8,513,449,8.3,527,213,2020
Pantheon Pantheon,17,21,50%,10,7,59%,2.3,8.3,31:46:00,1.8,280,264,1.5,287,77,2020
Lillia Lillia,25,13,50%,12,13,48%,3,5.2,31:45:00,6.5,408,355,2.9,-72,3,2020
Volibear Volibear,22,14,47%,12,10,55%,2.6,4.9,32:35:00,6.7,360,348,-9,-332,-497,2020
Shen Shen,8,24,42%,5,3,63%,3,3.8,34:58:00,6.8,299,347,0,29,-108,2020
